country,year,score,word_count,coverage
CHN,1972,5.274657194779431,6614.0,0.9151799213788933
CHN,1973,5.310292470441825,7138.0,0.9005323620061642
CHN,1974,5.314233589087791,6649.0,0.8820875319596931
CHN,1975,5.334672999065737,7071.0,0.908216659595531
CHN,1976,5.426259160559566,3391.0,0.8852845768209967
CHN,1977,5.374257408068559,6296.0,0.8897712833545108
CHN,1978,5.391455841180948,4391.0,0.89478478706445
CHN,1979,5.389721314626158,5787.0,0.8990841541385864
CHN,1980,5.346693607641405,4552.0,0.8969683655536028
CHN,1981,5.338676728676667,3172.0,0.898171500630517
CHN,1982,5.4258468814661,3760.0,0.8997340425531914
CHN,1983,5.3985568360397655,4176.0,0.914272030651341
CHN,1984,5.364222271814304,4910.0,0.9126272912423625
CHN,1985,5.356178996952024,3932.0,0.917853509664293
CHN,1986,5.409520766773122,3739.0,0.9208344477132924
CHN,1987,5.390794370228979,4579.0,0.9154837300720682
CHN,1988,5.422935554341834,3994.0,0.9168753129694541
CHN,1989,5.414838534599681,3968.0,0.928679435483871
CHN,1990,5.407768273716887,2773.0,0.9275153263613415
CHN,1991,5.465188356164341,4369.0,0.9356832227054246
CHN,1992,5.451262479871118,3366.0,0.9224598930481284
CHN,1993,5.413635420269738,3175.0,0.9105511811023622
CHN,1994,5.4179764408918345,2576.0,0.922748447204969
CHN,1995,5.4247434181168686,2422.0,0.9252683732452519
CHN,1996,5.442171253822569,2859.0,0.9150052465897167
CHN,1997,5.4994462390400844,2355.0,0.9201698513800425
CHN,1998,5.423495205691245,3506.0,0.9221334854535083
CHN,1999,5.433166154895872,3155.0,0.9290015847860539
CHN,2000,5.516995515694991,2888.0,0.9265927977839336
CHN,2001,5.500062068965492,1578.0,0.9188846641318125
CHN,2002,5.501145510835867,1772.0,0.9113995485327314
CHN,2003,5.533341645885236,2182.0,0.9188817598533455
CHN,2004,5.516588610963232,2058.0,0.913022351797862
CHN,2005,5.510709779179761,2046.0,0.9296187683284457
CHN,2006,5.589941207910157,2008.0,0.9317729083665338
CHN,2007,5.575957547169768,2325.0,0.9118279569892473
CHN,2008,5.526619047619021,1348.0,0.9347181008902077
CHN,2009,5.603225806451588,1560.0,0.9141025641025641
CHN,2010,5.584677090414672,1570.0,0.9369426751592357
CHN,2011,5.565890782339199,2824.0,0.9143059490084986
CHN,2012,5.555851301115166,2928.0,0.9187158469945356
CHN,2013,5.531264582361124,2356.0,0.9095925297113752
CHN,2014,5.458240574506216,2470.0,0.9020242914979757
CHN,2015,5.58886951928152,2050.0,0.9234146341463415
CHN,2016,5.500462700660956,2330.0,0.9090128755364807
CHN,2017,5.544429982046616,2429.0,0.9172498970769865
CHN,2018,5.518955399060974,2798.0,0.9135096497498213
CHN,2019,5.509861987381646,2773.0,0.9145329967544176
CHN,2020,5.504865497075983,1866.0,0.9163987138263665
CHN,2021,5.5960303687635475,1535.0,0.9009771986970684
CHN,2022,5.515161404753387,3093.0,0.911412867765923
CHN,2023,5.5849934036939075,1657.0,0.9149064574532287
CHN,2024,5.490434253246684,2750.0,0.896
CHN,2025,5.570698614318669,1954.0,0.8863868986693961
USA,1972,5.384073017683941,3741.0,0.9371825715049452
USA,1973,5.475244258872599,2634.0,0.9092634776006074
USA,1974,5.366790626591921,4277.0,0.9179331306990881
USA,1975,5.408607851072405,5382.0,0.918246005202527
USA,1976,5.433115712930778,6892.0,0.9178757980266976
USA,1977,5.40133885878221,3346.0,0.93753735803945
USA,1978,5.476418944215618,5687.0,0.9393353261825216
USA,1979,5.444898490369561,4138.0,0.9284678588690188
USA,1980,5.404239441092339,3384.0,0.9305555555555556
USA,1981,5.5601320754716355,3451.0,0.9214720370906984
USA,1982,5.436148184494579,4458.0,0.9143113503813369
USA,1983,5.417793427229987,3227.0,0.9240780911062907
USA,1984,5.477797441364586,4986.0,0.9406337745687926
USA,1985,5.388566916699535,5510.0,0.9194192377495463
USA,1986,5.368095872170389,4034.0,0.9308378780366882
USA,1987,5.450182501341888,3991.0,0.9336006013530443
USA,1988,5.402673010380608,4977.0,0.9290737392003214
USA,1989,5.485771586037902,3439.0,0.9496946786856645
USA,1990,5.409322230828763,2757.0,0.936525208560029
USA,1991,5.448111159357301,2568.0,0.8968068535825545
USA,1992,5.51373250894886,3353.0,0.9164926931106472
USA,1993,5.454799561883885,4904.0,0.9308727569331158
USA,1994,5.434998343822401,3225.0,0.936124031007752
USA,1995,5.357066795740505,3368.0,0.9201306413301663
USA,1996,5.3655444754686235,2705.0,0.9268022181146026
USA,1997,5.478862491000654,2976.0,0.9334677419354839
USA,1998,5.338645083932797,2652.0,0.9434389140271493
USA,1999,5.399411764705813,3242.0,0.9386181369524984
USA,2000,5.460299955888787,2466.0,0.9193025141930251
USA,2001,5.311275197195386,2469.0,0.924260834345889
USA,2002,5.234236610711376,2724.0,0.9185022026431718
USA,2003,5.325295678544285,2843.0,0.9278930706999649
USA,2004,5.457494699646585,3061.0,0.9245344658608298
USA,2005,5.52419892793324,1790.0,0.9379888268156424
USA,2006,5.471310963714345,2752.0,0.9313226744186046
USA,2007,5.48590767865064,2455.0,0.9177189409368636
USA,2008,5.439095127610148,2862.0,0.9035639412997903
USA,2009,5.421361169102289,5128.0,0.9340873634945398
USA,2010,5.446524358302739,4077.0,0.9364728967377974
USA,2011,5.411587151629631,4526.0,0.9354838709677419
USA,2012,5.399856382978682,4041.0,0.9304627567433803
USA,2013,5.348148148148124,5653.0,0.9313638775871219
USA,2014,5.3668197034911405,4579.0,0.9132998471281939
USA,2015,5.409961599277126,4795.0,0.9232533889468196
USA,2016,5.448129303749033,5640.0,0.926950354609929
USA,2017,5.451668230877498,4602.0,0.9261190786614515
USA,2018,5.494292944328627,3619.0,0.9281569494335452
USA,2019,5.520869071286537,3844.0,0.9159729448491155
USA,2020,5.483770856507226,984.0,0.9136178861788617
USA,2021,5.512605062668928,4412.0,0.922257479601088
USA,2022,5.469271335412465,3834.0,0.9199269692227439
USA,2023,5.487963130855177,3625.0,0.9128275862068965
USA,2024,5.405138843515137,3290.0,0.9303951367781155
USA,2025,5.3944754282856655,8445.0,0.9469508584961516
